product,hundred energy (kcal),hundred protein (g),hundred total fat (g),hundred saturated fat (g),hundred trans fat (g),hundred carbohydrate (g),hundred dietary fiber (g),hundred sugars (g),hundred sodium (mg),per serve,serve energy (kcal),serve protein (g),serve total fat (g),serve saturated fat (g),serve trans fat (g),serve carbohydrate (g),serve dietary fiber (g),serve sugars (g),serve sodium (mg)
BP_349486,235,2.2,23.5,2.8,0,1.2,,0.5,880,,,,,,,,,,
BP_350241,5,0.4,0.1,0,0,0.6,,0.4,376,,,,,,,,,,
BP_350258,5,0.4,0.1,0,0,0.6,,0.4,376,250ml,13,1,0.3,0,0,1.5,,1,940
BP_350287,5,0.4,0.1,0,0,0.6,,0.4,376,250ml,13,1,0.3,0,0,1.5,,1,940
BP_350531,,,,,,,,,,75g,338,8,16.1,7.7,0,40.3,,3.8,1350
BP_350532,,,,,,,,,,15g,339,7.6,15.5,8.1,0,42.2,,7.9,1500
BP_350752,,,,,,,,,,100ml,0,0,0,0,0,0,,0,0
BP_351868,18,0,0,0,0,0,0,0,2,,,,,,,,,,
BP_351877,,,,,,,,,,19.7g,28,0.5,0.2,0,0,6.2,0,4.8,789
BP_351964,365,10,3.3,0.6,0,73,,0,6,,,,,,,,,,
BP_351986,58.3,2.2,0,0,0,8.3,,5.8,380,,,,,,,,,,
BP_352033,343,6.7,0.9,0,0,77.2,0,0,22,,,,,,,,,,
BP_352034,354,6.8,0.8,0,0,80.2,0,0,21,,,,,,,,,,
BP_352464,56,1.6,0.8,0,0,11.2,2.4,4.8,272,125g,70,2,1,0,0,14,3,6,340
BP_352541,68,1.5,4.9,1.2,0,4.4,,0.5,200,,,,,,,,,,
BP_352542,55,0.7,4.3,1,0,3.3,,0.1,240,,,,,,,,,,
BP_352545,49,1.9,0.5,0.1,0,9.2,,1.2,220,,,,,,,,,,
BP_352552,87,5.1,0.4,0.1,0,13.7,4.2,4,212,,,,,,,,,,
BP_352553,87,5.1,0.4,0.1,0,13.7,4.2,4,212,,,,,,,,,,
BP_352794,431,22.4,37.5,10.1,0.3,3.4,2.3,1.1,1077,,,,,,,,,,
BP_352865,200,17.8,13.8,4.7,0,1.2,,0.9,360,,,,,,,,,,
BP_352868,341,11.5,1.3,0.3,0,70.7,,1.8,0,,,,,,,,,,
BP_352870,160,5,0.7,0.1,0,32.8,1.4,0.7,0,,,,,,,,,,
BP_353089,415,5.7,19,1.8,0,58,0.7,26,292,,,,,,,,,,
BP_353225,,,,,,,,,,113 g,499,11.3,21.9,10.2,0,64.1,,6.3,1669
BP_353755,359,8,2.6,0.5,0,76,,0,3,,,,,,,,,,
BP_353907,83,1.7,1.2,0.3,0,16.3,,13.5,419,,,,,,,,,,
BP_353908,81,1.5,5.1,0.5,0,7.2,,1.4,600,,,,,,,,,,
BP_354098,,,,,,,,,,15ml,41,0,0,0,0,8.4,,8.4,98
BP_354293,350,10.9,1.5,0,0,76.3,3.2,2.6,304,,,,,,,,,,
BP_354295,352,11.1,1.7,0,0,75.4,2.4,2.9,301,,,,,,,,,,
BP_354296,348,11,1.3,0,0,75.9,2.8,2.8,329,,,,,,,,,,
BP_354751,489,6.1,23.3,12.8,0,63.7,,34.6,277,,,,,,,,,,
BP_354794,373,1.9,0,0,0,91.9,,91.4,29,,,,,,,,,,
BP_354860,453,7,21,9,0,60,,11,893,75g,340,5,15,7,0,45,,9,670
BP_355261,,,,,,,,,,15ml,123,0,13.7,2,0,0,0,0,0
BP_355305,353,12.5,2,0.5,0,71.2,3,3.5,5,,,,,,,,,,
BP_355580,350,19.1,2.6,0.5,0,64.9,2.4,2.7,605,,,,,,,,,,
BP_355660,349.3,12,1.3,0.4,0,72.4,,1.9,623,,,,,,,,,,
BP_355661,349.3,12,1.3,0.4,0,72.4,,1.9,623,,,,,,,,,,
BP_356137,,,,,,,,,,112g,472,10.8,21.2,10.7,0,59.5,,4.3,1726
BP_356159,19,0,0,0,0,4.7,0,4.4,19,350 ml,,,,,,,,,
BP_356297,,,,,,,,,,34g,105,4,9,2,0,2,0,0,405
BP_356493,3.6,0,0,0,0,0.9,0,0,0,,,,,,,,,,
BP_356681,706,0.5,78,35,1.7,0.6,,0.6,0,10g,71,0.1,7.8,3.5,0.2,0.1,,0.1,0
BP_357543,25.4,0,0,0,0,6.26,0,3.45,19,250ml,60,0,0,0,0,15.7,0,8.63,48
BP_357939,341,13,2.8,0.6,0,72.4,6.5,5.6,0,,,,,,,,,,
BP_357940,356,10.9,1.5,0,0,76.2,1.6,3.7,0,,,,,,,,,,
BP_358227,341,20,29,18,1,0.1,,0.1,1320,20 g,68,4,5.8,3.6,0.2,0.02,,0.02,264
BP_358340,,,,,,,,,,65g,241,5.7,3.3,0.5,0,47.3,,1.4,1286
BP_358431,,,,,,,,,,65g,224,5.1,2.1,0.9,0,46.1,,2,1438
BP_358470,122,2.6,0.5,0.3,0,28.3,,20.5,4,,,,,,,,,,
BP_358500,,,,,,,,,,28g,32,2.9,1.3,0,0,2.1,0,0,793
BP_358502,,,,,,,,,,10g,12,1,0.5,0,0,0,0,0,310
BP_358505,,,,,,,,,,50g,14,2,0,0,0,2,0,0,22
BP_358638,569,10,36.9,15.7,0.3,49.3,,24,115,,,,,,,,,,
BP_359357,0,0,0,0,0,0,,0,39270,,,,,,,,,,
BP_359394,154,1.3,13.8,2.7,0,4.9,,0.1,2000,,,,,,,,,,
BP_359439,184,24.8,9.2,2.6,0,0.4,,0.4,190,,,,,,,,,,
BP_359453,38,3.8,2.3,1,0.1,0.5,0.1,0.4,50,,,,,,,,,,
BP_359454,14,2.5,0,0,,0,0.5,0,52,,,,,,,,,,
BP_359456,3,0.2,0.1,0.1,0,0.4,0.5,0.4,0,,,,,,,,,,
BP_359468,46,0.6,1.4,0.8,0,7.5,0.3,1.1,228,,,,,,,,,,
BP_359478,49,3,0.5,0.1,0,5.4,5.2,1.8,32,,,,,,,,,,
BP_359710,304,5.9,21.8,8.3,0,21.1,3.4,17.7,2343,200g,608,11.8,43.6,16.6,0,42.2,6.8,35.4,4686
BP_359711,277,4.4,17.3,7.8,0,25.8,9.4,16.8,4255,200g,554,8.8,34.6,15.6,0,51.6,9.4,33.6,8510
BP_360435,0,0,0,0,0,0,,0,7,,,,,,,,,,
BP_360887,632,0.2,63.8,8.9,0,14.3,0,8.4,520,,,,,,,,,,
BP_360892,124,0.7,13,3,0,0,2.1,0,1600,,,,,,,,,,
BP_360896,32,0,0.4,0,0,7.1,1.9,6.8,540,,,,,,,,,,
BP_360901,258,25.5,17.5,3.6,0,0,,0,192,,,,,,,,,,
BP_361856,,,,,,,,,,29g,128,1,6,4,0,18,1,9,47
BP_362000,177,4,6.8,0.9,0,0.05,,0,300,,,,,,,,,,
BP_362158,,,,,,,,,,72g,313,7.1,12.2,7.9,0,43.7,,5,1555
BP_362222,95.1,21.7,0.8,0.3,0,0,,0,258,,,,,,,,,,
BP_362224,196.5,13.9,12.8,2.1,0,6.6,,5,543,,,,,,,,,,
BP_362225,107.8,23.7,1.3,1,0,0,,0,84,,,,,,,,,,
BP_362227,185.9,21.8,10.6,1.6,0,0.9,,0,347,,,,,,,,,,
BP_362962,522,5.4,26.9,13.2,0.4,64.5,,26,151,,,,,,,,,,
BP_363271,354,12,2,0.4,0,72,3.6,3.7,0,,,,,,,,,,
BP_363282,36,0.6,1,0.7,0.1,5.5,0.3,1.1,300,,,,,,,,,,
BP_363650,91,4.9,4.5,2.3,0,7.8,1.8,5.7,500,,,,,,,,,,
BP_363651,50,1.1,2.4,0.3,0,6.1,1.7,4.7,300,,,,,,,,,,
BP_364185,59.2,0.4,0.36,0,0,13.6,,13.6,26,,,,,,,,,,
BP_364695,28,0.813,0.2,0.09,0,4.9,,4.8,720,,,,,,,,,,
BP_364818,36,0.8,1.8,0.5,0,4.1,0,0,268,190g,68,1.5,3.4,1,0,7.8,0,0,509
BP_365138,348,14.9,1.5,0.4,0,67.4,2.8,2.4,8,,,,,,,,,,
BP_365242,900,0,100,14.9,0.57,8,0,,0,,,,,,,,,,
BP_365283,380,0,0,0,0,94.7,0,94.7,9,,,,,,,,,,
BP_365284,400,0,0,0,0,99.8,0,99.7,0,,,,,,,,,,
BP_365285,396,0,0,0,0,98.9,0,98.9,0,,,,,,,,,,
BP_365286,376,0,0,0,0,93.8,0,93.8,7,,,,,,,,,,
BP_365776,,,,,,,,,,57g,233,11.8,4.7,0.9,0,35.7,0.6,2.4,1218
BP_365838,,,,,,,,,,20 g,70,0,0,0,0,17,,0,0
BP_367150,47,2,1.6,1,0,6.1,0.6,1.1,800,,,,,,,,,,
BP_367177,318,16,28,9,0.12,0.5,0.5,0.3,700,,,,,,,,,,
BP_367228,113,9.8,4.9,2,0,7.3,2.4,1.3,0.37,,,,,,,,,,
BP_367515,,,,,,,,,,40g,140,2,0,0,0,33,1,4,190
BP_368516,122,5.2,0,0,0,25.3,,20.9,,,,,,,,,,,
BP_369131,,,,,,,,,,100 g,80,3.4,1.6,1,0,12.8,,11.15,55
BP_369137,,,,,,,,,,15ml,28,0.1,0,0,0,4.9,,4,80
BP_369167,225,10.7,13.4,2.4,0,14.8,,0.7,40,,,,,,,,,,
BP_369236,,,,,,,,,,,44,1.2,0.1,0,0,9.3,,1.2,384
BP_369283,185,23.7,10,2.1,0.1,0,0.1,0,6,,,,,,,,,,
BP_369328,93,2.1,0.6,0.3,0,19,,0,4,,,,,,,,,,
BP_369507,,,,,,,,,,103g,425,12.6,15.2,6.5,0,59.5,,4.2,2554
BP_369511,24.1,0,0,0,0,5.9,,5.8,18,,,,,,,,,,
BP_369575,362,20,3,1.7,0,63.7,0,40,260,30,109,6,0.9,0.5,0,19.1,0,12,78
BP_369619,84,3,1.5,1,0,14.5,0.7,12.8,59,135 g,113,4.1,2,1.3,0,19.6,0.9,17.3,79
BP_370035,13,1.2,0,0,0,1.1,2.1,0.8,640,,,,,,,,,,
BP_370048,343,13,2.1,0.5,0,64,9.3,3.1,8,,,,,,,,,,
BP_370159,45,0.1,0.2,0,0,10.5,,10.5,0,,,,,,,,,,
BP_370472,,,,,,,,,,66 g,228,7.4,0.8,0,0,48.4,0,1.2,657
BP_370633,823,0,91,14,0,0,0,,0,,,,,,,,,,
BP_370937,,,,,,,,,,28g,90,2,9,6,0,2,0,1,95
BP_371079,,,,,,,,,,81g,300,9.6,7.4,4.5,0,48.8,,4.3,1955
BP_371082,,,,,,,,,,78g,283,9.9,6.6,2.7,0,45.9,,4.2,1939
BP_371252,235,11,3,1,0,65,,1,44,,,,,,,,,,
BP_371255,394.4,0,4,2,0,66,,80,34,,,,,,,,,,
BP_372212,,,,,,,,,,,37,0,0,0,0,11.8,5,6.5,39
BP_372213,,,,,,,,,,,44,0.1,0,0,0,13.7,5,8.4,79
BP_372214,,,,,,,,,,,48,0,0,0,0,14.7,5,9.7,78.7
BP_372516,433,8.5,8.1,3,1.3,81.6,,8.6,250,,,,,,,,,,
BP_372641,95,8.1,0.9,0,0,20.3,6.7,2.1,358,,,,,,,,,,
BP_372696,0,0,0,0,0,1.1,0,0,0,2 g,0,0,0,0,0,0,0,0,0
BP_372698,,,,,,,,,,10 ml,10.4,0.9,0,0,0,1.7,,1.3,489
BP_372730,400,0,0,0,0,100,,100,0,,,,,,,,,,
BP_372731,,,,,,,,,,5 ml,4,0.4,0,0,0,0.7,,0.5,327
BP_372733,45.9,5.4,0.6,0,0,4.8,,1.7,1058,,,,,,,,,,
BP_372853,212,13.7,14,5.6,0.05,7.9,0.3,0,620,,,,,,,,,,
BP_372860,343.6,6.2,0.72,0,0,78.1,,0,0,,,,,,,,,,
BP_373181,65,1.5,0.8,0,0,12.9,2.3,7.8,285,100 g,,,,,,,,,
BP_373397,367.6,19.3,25.8,4.3,0,12,,0.6,753,,,,,,,,,,
BP_373398,358.7,22.9,24.6,4.1,0,9,,0.5,755,,,,,,,,,,
BP_374815,107,10.7,0.5,1.8,0,5.3,0,3.6,1089,56g,60,6,2.5,1,0,3,0,2,610
BP_374818,169.9,16.3,10.8,3.8,0,2,,1.3,280,,,,,,,,,,
BP_375045,48,1.6,1.2,0,0,9.7,1.6,5.6,347,,,,,,,,,,
BP_375050,251,10.39,3.26,1,0,63.95,25.3,0.64,20,,,,,,,,,,
BP_375053,,,,,,,,,,100 ml,119,5.9,4.2,1.48,0,14.34,0.38,2.3,4.7
BP_375112,,,,,,,,,,100g,345,9.5,1.8,0,0,72.6,,2,924
BP_375689,61,0,0,0,0,14,0,14,0,,,,,,,,,,
BP_375814,,,,,,,,,,,,,,,,,,,
BP_376075,,,,,,,,,,11g,45,1,2,0.4,0,5,,0,890
BP_376079,900,0,100,6.8,0.3,0,0,0,0,,,,,,,,,,
BP_376084,900,0,100,6.8,0.3,0,0,0,0,,,,,,,,,,
BP_376087,900,0,100,6.8,0.3,0,0,0,0,,,,,,,,,,
BP_376093,825,0,91.7,12.7,2.5,0,0,0,0,,,,,,,,,,
BP_376094,137,17.9,6.6,1.4,0,2,0,1.2,357,,,,,,,,,,
BP_376114,212.2,13.4,15.5,5.5,0.1,6.1,0.9,0,605,,,,,,,,,,
BP_376345,559,7.7,34.8,20.5,0,55.2,3.4,49.9,60,,,,,,,,,,
BP_376346,559,6.5,36.6,21.5,0,56,6.5,46.4,11,,,,,,,,,,
BP_376578,124,3.3,0.2,0.2,0,26.1,,0,90,,,,,,,,,,
BP_376582,,,,,,,,,,200g,248,6.6,0.4,0.4,0,52.2,,0,180
BP_376586,,,,,,,,,,50g,211,5.7,8.1,4.1,0,28.7,,3.6,1200
BP_376794,343.3,6.9,0.65,0,0,77.5,1.1,,0,,,,,,,,,,
BP_377108,366,6.2,17.2,7.3,0,46.6,2,9.9,3,,,,,,,,,,
BP_377141,,,,,,,,,,,,,,,,,,,
BP_377384,,,,,,,,,,95g,439,10.7,19.3,9.8,0,55.7,,2.2,1672
BP_377643,,,,,,,,,,5 ml,6,0.4,0,0,0,1.2,,1,315
BP_377648,,,,,,,,,,17.1g,19,2.3,0.9,0.14,0,1.7,1.1,0.4,701
BP_377649,,,,,,,,,,15ml,7,0.2,0,0,0,1.6,0,1.2,340
BP_378434,,,,,,,,,,100g,458,12.6,20.8,9,0,55.2,,5,1670
BP_378839,92.5,3.1,3.3,2.4,0,12.5,,11.5,60,,,,,,,,,,
BP_378840,98.9,3.1,3.1,2,0,14.5,,13,65,,,,,,,,,,
BP_378841,93,3.1,3.1,2.4,0,13,,11,65,,,,,,,,,,
BP_379028,,,,,,,,,,,,,,,,,,,
BP_379491,,,,,,,,,,,420,8.8,21.9,10.5,0,46.9,,2.1,1700
BP_379538,900,0,100,15.4,0,0,0,0,0,,,,,,,,,,
BP_379683,60,3.4,0.7,0,0,14.2,4.2,3.8,15,,,,,,,,,,
BP_379948,898,0,99.6,16,0,0,,0,0,,,,,,,,,,
BP_380207,349,7.8,0.4,0.2,0,78.5,,0.1,0,,,,,,,,,,
BP_380208,349,7.8,0.4,0.2,0,78.5,,0.1,0,,,,,,,,,,
BP_380223,476,4,17,8,0,73,,5,492,,,,,,,,,,
BP_380225,596,4.6,64,12,0,0,,0,272,,,,,,,,,,
BP_380363,290,23.2,18.7,5.1,0,7.2,,4.2,943,,,,,,,,,,
BP_380664,,,,,,,,,,75g,319,9.2,11.8,5.1,0,43.9,,4.3,1530
BP_380685,134,3.1,0.6,0,0,30.4,1.3,0,113,,,,,,,,,,
BP_380686,140,1.2,0.8,0.5,0,32.1,0,0,16,,,,,,,,,,
BP_38120,360,11.5,5.9,3.5,0,64.3,,9.1,32,,,,,,,,,,
BP_38130,259,34,2.7,0,0,46.7,,19.4,23,,,,,,,,,,
BP_381312,348,6.8,0.75,0,0,78.61,1.45,0.48,17.28,,,,,,,,,,
BP_38134,317,1.9,0.6,0,0,75.9,,65.1,0,,,,,,,,,,
BP_381610,105,1.2,0.4,0,0,23,2,18,908,,,,,,,,,,
BP_38189,318,10,2.1,0.3,0,65.2,,16.7,28.1,,,,,,,,,,
BP_381906,89,4.9,0.6,0,0,19.7,3.6,6.6,400,,,,,,,,,,
BP_381978,67,0,0,0,0,20,,13.3,0,,,,,,,,,,
BP_381979,,,,,,,,,,5 ml,6,0.5,0,0,0,0.8,,0.5,319
BP_382067,356,9.4,2.7,0.6,0,73.6,8.5,0,2.2,,,,,,,,,,
BP_382432,148.9,18.7,8.2,1.1,0,0.3,,0.1,450,,,,,,,,,,
BP_382436,198.8,25,11,1.7,0,0,,0,450,,,,,,,,,,
BP_383606,450,10.6,18.9,9,0,58.4,,3.4,1140,91g,410,9.6,17.2,8.2,0,53.1,,3.1,1037
BP_383614,,,,,,,,,,80g,270,9.6,2.4,0.8,0.1,54.2,1.8,3.2,2130
BP_383621,,,,,,,,,,92g,424,8.5,18,8.5,0,56.9,,2.5,966
BP_383658,,,,,,,,,,200 g,264,2.8,1.6,0.8,0,61.6,2.2,1.8,61.6
BP_383690,357,7.3,4.6,0.4,0,71.7,,0.7,2506,65g,232,4.7,3,0.3,0,46.6,,0.5,1629
BP_383694,353,12,2,0.5,0,71.7,3,3.5,5,,,,,,,,,,
BP_383695,355.4,12,1.5,0.3,0,72.2,3,1,2,,,,,,,,,,
BP_383992,49,0,0,0,0,11.5,,10.3,0,,,,,,,,,,
BP_385308,,,,,,,,,,240ml,45,0,0,0,0,11,0,10,40
BP_385309,,,,,,,,,,240ml,45,0,0,0,0,11,0,10,40
BP_385965,,,,,,,,,,15ml,120,0,14,2,0,0,0,0,0
BP_386445,65,1.1,0,0,0,15.1,0,15.1,20,,,,,,,,,,
BP_386446,65,1.1,0,0,0,15.1,0,15.1,20,,,,,,,,,,
BP_387051,347,13.1,1.7,0,0,68.6,6.7,3.8,0.63,,,,,,,,,,
BP_387099,,,,,,,,,,1g,3,0.1,0.1,0.1,0,0.3,0,0.1,170
BP_387188,241,11.4,18.6,6.5,0,7,,0.2,733.7,,,,,,,,,,
BP_387191,194,13,14.2,5.2,0,4.6,,0.4,656,,,,,,,,,,
BP_387194,,,,,,,,,,5ml,4,0.2,0,0,0,0.7,,0.2,370
BP_387232,310,0,0.5,0,0,75,,73,29,,,,,,,,,,
BP_387241,,,,,,,,,,5ml,6,0.5,0,0,0,0.8,,0.5,319
BP_387243,60,0,0,0,0,15.1,,14.6,16,127g,77,0,0,0,0,19.2,,18.5,20
BP_387244,287,8.1,20.6,8.2,0,17.4,,0,620,,,,,,,,,,
BP_387286,,,,,,,,,,160g,139,4.2,7.7,5.1,0,13,,9.1,827
BP_387292,151,22.8,6.6,1.9,0.1,0,,0,365,,,,,,,,,,
BP_387372,,,,,,,,,,20g,100,1,6,3.5,0,10,1,2,800
BP_387811,76,2.3,1.6,0,0,16.2,3.2,5.2,138,,,,,,,,,,
BP_387820,58,1.1,0.7,0,0,12.9,1.2,4.4,280,,,,,,,,,,
BP_388055,825,0,91.7,12.7,2.5,0,0,0,0,,,,,,,,,,
BP_388056,825,0,91.7,12.7,2.5,0,0,0,0,,,,,,,,,,
BP_388395,349,8.6,1.7,0.4,0,70.8,,0,1772,,,,,,,,,,
BP_388693,338,33.9,1.6,0,0,47,,0,244,,,,,,,,,,
BP_388695,0,0,0,0,0,0,,0,38826,,,,,,,,,,
BP_388863,367,22,31,21,1.2,1,,1,570,,,,,,,,,,
BP_389399,20,0,0,0,0,4.9,0.2,3.8,3,350 ml,,,,,,,,,
BP_389431,358,11.6,10.3,1.9,0,66.8,12.1,0.9,0,,,,,,,,,,
BP_390724,44.9,4.4,2.7,0.4,0,2.4,1.8,0.6,0,,,,,,,,,,
BP_390725,40,4.3,1.9,0,0,2.5,1.1,0.5,0,,,,,,,,,,
BP_391017,,,,,,,,,,5ml,9,0.1,0,0,0,2.1,0,1.7,315
BP_391480,0,0,0,0,0,0,0,0,10,,,,,,,,,,
BP_391482,0,0,0,0,0,0,0,0,11,,,,,,,,,,
BP_391490,,,,,,,,,,,,,,,,,,,
BP_391752,,,,,,,,,,15ml,120,0,14,3,0.2,0,0,0,0
BP_391902,,,,,,,,,,13g,80,3,6,0,0,3,1,1,0
BP_391905,,,,,,,,,,34g,120,3,0.5,0,0,25,4,0,0
BP_391910,,,,,,,,,,1g,0,0,0,0,0,0,0,0,280
BP_394181,28.7,0.2,0,0,0,7,,3.9,25,,,,,,,,,,
BP_394185,23.9,0.1,0,0,0,6,,3.6,19,,,,,,,,,,
BP_394834,,,,,,,,,,,68.6,6,11,8,0,41,,11,514
BP_395543,269,22.5,14.9,3.2,0,11.1,,3.8,915,,,,,,,,,,
BP_395587,,,,,,,,,,200 g,119,6.2,8.8,3.2,0,3.8,,2.4,1220
BP_395591,,,,,,,,,,90g,33,4.6,0,0,0,3.7,,1.5,639
BP_395595,,,,,,,,,,5ml,6,0.4,0,0,0,1.1,,1.1,313
BP_395670,92,3.2,2.8,1.9,0,13.2,,13.2,32,90g,,,,,,,,,
BP_396414,,,,,,,,,,10 g,28,0.4,2.2,0.4,0.1,1.6,,1.1,145
BP_396725,,,,,,,,,,105g,438,11.9,15.2,9.9,0,63.4,,4.4,2457
BP_396729,28,4.4,0.5,0,0,1.3,,0.4,210,,,,,,,,,,
BP_396730,44,3.4,2.3,0.6,0,2.4,,0.6,220,,,,,,,,,,
BP_396732,11,0.8,0,0,0,1.5,,0,175,,,,,,,,,,
BP_396740,38,2.4,0,0,0,3.6,,1.2,208,,,,,,,,,,
BP_397388,268,12.1,6.6,2.4,0,40.7,0,5.6,13543,,,,,,,,,,
BP_397389,268,12.1,6.6,2.4,0,40.7,0,5.6,13543,,,,,,,,,,
BP_397610,460,5.3,46,4.1,0,5.5,1.5,2.4,1080,,,,,,,,,,
BP_397611,484,7.3,42,3.9,0,18,1.9,5.5,1120,,,,,,,,,,
BP_397730,284,3.9,12.4,7.2,0.16,39.1,,20.6,72,,,,,,,,,,
BP_398520,,,,,,,,,,195g,605,13,25,9,0,82,,6,1250
BP_398646,28,3.2,1.5,0.4,0,1.3,,0.4,169,,,,,,,,,,
BP_398805,,,,,,,,,,,,,,,,,,,
BP_398811,,,,,,,,,,,,,,,,,,,
BP_400189,,,,,,,,,,16.8g,45,0.6,2.8,0.1,0,4.7,0.4,2.2,364
BP_400190,,,,,,,,,,14.9g,54,0.1,5,0.4,0,2.4,0.2,0,408
BP_400191,,,,,,,,,,15ml,17,0.3,0,0,0,4,0,3.5,547
BP_400668,199,9.5,15,5.7,0,6.5,,0.4,640,,,,,,,,,,
BP_400670,418,7.9,12.8,6.7,0,67.9,,2.9,1808,118g,494,9.3,15.1,7.9,0,80.1,,3.4,2133
BP_400672,,,,,,,,,,97 g,363,9.7,3.4,1,0,72,,4,1880
BP_400677,,,,,,,,,,75g,328,7.1,13.5,6.3,0,44.6,,3.5,1500
BP_400709,265.3,7.4,23.3,8.3,0,6.5,,1.4,679,60g,159.2,4.4,14,5,0,3.9,,0.8,407
BP_400887,,,,,,,,,,48g,180,6,2,0,0,34,4,1,0
BP_401308,357,15,1.5,0.3,0,69,,1.4,4,,,,,,,,,,
BP_401316,357,15,1.5,0.3,0,69,,1.4,4,,,,,,,,,,
BP_401347,43,0.7,0,0,0,9.5,,8.2,1,,,,,,,,,,
BP_401360,0,0,0,0,0,0,,0,3.12,,,,,,,,,,
BP_401690,347,7.2,0,0,0,78.8,,0,17.1,,,,,,,,,,
BP_401706,,,,,,,,,,15ml,120,0,14,1,0.1,0,0,0,0
BP_401815,0,0,0,0,0,0,0,0,3.3,,,,,,,,,,
BP_401887,,,,,,,,,,,,0,0,0,,,,0.1,
BP_401906,541,7.6,30.9,13.7,0.4,59.6,1.6,18.4,409,,,,,,,,,,
BP_401908,564,6.2,38.7,23.7,0.3,51.9,4.1,16.5,58,,,,,,,,,,
BP_402667,109,4.1,0,0,0,86,63,0,59,,,,,,,,,,
BP_402765,0,0,0,0,0,0,,0,38261,,,,,,,,,,
BP_402789,364,12.5,2,0.5,0,71.2,3,3.5,5,,,,,,,,,,
BP_402794,359,12.5,2,4,0,71.2,3,3.5,5.2,,,,,,,,,,
BP_402795,73,1.9,4.5,0.5,0,6.2,2.1,4.8,420,,,,,,,,,,
BP_402977,,,,,,,,,,75 g,253,0.5,0,0,0,62,0.5,0,10
BP_402979,,,,,,,,,,5 ml,6,0.5,0,0,0,0.9,,0.7,312
BP_402980,,,,,,,,,,5 ml,13,0.1,0,0,0,3.1,,1.3,240
BP_402981,45,2.9,0.7,0,0,5.9,,4.5,3370,,,,,,,,,,
BP_402999,,,,,,,,,,10g,57,1.1,5.3,0.5,0,1.2,,0.7,197
BP_403096,,,,,,,,,,36g,158,4.2,6.9,3.4,0,19.8,,2.1,846
BP_403124,466,6,24.9,2.6,0,54.5,,28.3,634,,,,,,,,,,
BP_403140,,,,,,,,,,125 g,56,1.2,0.4,0.1,0,12,0.9,4.9,305
BP_403167,341,6.8,1.1,0.4,0,77,1,0,5,,,,,,,,,,
BP_403168,341,6.8,1.1,0.4,0,77,1,0,5,,,,,,,,,,
BP_403241,,,,,,,,,,,331,3.5,20.1,8.2,0,34.3,,1.1,51
BP_403340,,,,,,,,,,125 g,74,1.9,1,0.2,0,14.1,3,5.9,186
BP_403352,58,1.9,1.3,0.3,0,9.7,4.1,4.9,168,120g,70,2.3,1.6,0.4,0,11.6,4.9,5.9,202
BP_403769,18,2.2,0.4,0.1,0,1.7,0.4,0.6,124,,,,,,,,,,
BP_403770,17,3.3,0.4,0.2,0,0,0,0,147,,,,,,,,,,
BP_403774,47,3.2,2.8,0.3,0,2.2,,0.5,210,,,,,,,,,,
BP_403909,34,0,0,0,0,8.5,,7.5,13,,,,,,,,,,
BP_404419,353,12.8,2,0.5,0,70.9,3,3.5,5,,,,,,,,,,
BP_404531,502,8.2,24.2,10.1,0.1,62.8,,2.9,1060,,,,,,,,,,
BP_405339,169,0,17.5,15.1,0,2.9,,1,18,,,,,,,,,,
BP_405340,169,0,17.5,15.1,0,2.9,,1,18,,,,,,,,,,
BP_405551,,,,,,,,,,16g,18,0,0,0,0,4.4,0.1,3.9,13
BP_405552,,,,,,,,,,16g,17,0,0,0,0,4.4,0.1,3.9,13
BP_405554,,,,,,,,,,16g,17,0,0,0,0,4.3,0.1,3.8,12
BP_405762,197,9.3,14.6,4.3,0,7,,2.3,183,30g,59.1,2.8,4.4,1.3,0,2.1,,0.7,55
BP_405778,,,,,,,,,,15ml,120,0,14,1,0,0,0,0,0
BP_405948,,,,,,,,,,236ml,155,5.7,3.3,2.1,0,25.5,,25.3,215
BP_406608,190,0.5,0.6,0,0,45,,45,1425,,,,,,,,,,
BP_406623,,,,,,,,,,5 ml,1,0,0,0,0,0.03,,0,0
BP_406625,55.3,1.1,2.9,0.5,0,6.2,,0,400,,,,,,,,,,
BP_406626,194,14.5,13.1,4.4,0,4.6,,0,696,,,,,,,,,,
BP_406637,290,14,24,9.6,0,4,,0,850,,,,,,,,,,
BP_406638,290,14,24,9.6,0,4,,0,850,,,,,,,,,,
BP_406640,,,,,,,,,,225 g,353,14,6.2,0,0,59.5,,2.2,435
BP_406772,16.25,0,0,0,0,4.1,0,3.5,0.6,350ml,56.6,0,0,0,0,14.5,0,12.3,2
BP_406774,15,0,0,0,0,3.5,0.9,3.3,0.5,350ml,52.79,0,0,0,0,12.3,3.2,11.6,1.8
BP_406776,16.25,0,0,0,0,4.1,0,3.5,0.6,350ml,56.6,0,0,0,0,14.5,0,12.3,2
BP_408383,345,12,1.4,0.6,0,74,3,3.3,5,,,,,,,,,,
BP_408903,,,,,,,,,,173g,81,1,2.7,2,0,15,,3,250
BP_409088,30,3.8,1.2,0.2,0,1.2,0.3,0.9,139,,,,,,,,,,
BP_409089,20,3.9,0.3,0.1,0,1.6,1.1,0,146,,,,,,,,,,
BP_409098,378,7.1,17.1,9.8,0,48.3,,41.9,376,,,,,,,,,,
