product,hundred energy (kcal),hundred protein (g),hundred total fat (g),hundred saturated fat (g),hundred trans fat (g),hundred carbohydrate (g),hundred dietary fiber (g),hundred sugars (g),hundred sodium (mg),per serve,serve energy (kcal),serve protein (g),serve total fat (g),serve saturated fat (g),serve trans fat (g),serve carbohydrate (g),serve dietary fiber (g),serve sugars (g),serve sodium (mg)
BP_199800,351,6.9,0.8,0,0,79.1,0,0,0,,,,,,,,,,
BP_215684,342,13.3,1.6,0,0,64.8,,55,46,,,,,,,,,,
BP_227151,421,3.5,10,6.5,0,78.9,,59.2,123,,,,,,,,,,
BP_230092,430,5,15,10,0,69,,40,360,30g,129,1.5,4.5,3,0,20.7,0,12,108
BP_233069,100,3.72,3.27,0.37,0,13.42,1.01,4.04,84,53.8g,230,8.55,7.53,4.6,0,30.87,2.31,9.3,194
BP_26428,297,3.9,0,0,0,68.7,,61.7,30,,,,,,,,,,
BP_26429,218,4.3,1.7,0,0,46.4,,34.2,0,,,,,,,,,,
BP_26430,317,1.9,0.6,0,0,75.9,,65.1,0,,,,,,,,,,
BP_26432,305,11.5,2.5,0,0,59,,51.4,400,,,,,,,,,,
BP_26433,329,3.7,0.6,0,0,77.2,,57.2,14,,,,,,,,,,
BP_26440,218,8,0.7,0,0,44.9,,10.9,21,,,,,,,,,,
BP_26441,302,34,6.7,1.9,0,26.3,,0,1606,,,,,,,,,,
BP_26442,280,61.4,3.6,0.7,0,0,,0,2624,,,,,,,,,,
BP_26443,293,66.5,1.7,0.7,0,3,,1.2,1097,,,,,,,,,,
BP_26444,352,4.8,0.8,0,0,81.4,,60.4,48,,,,,,,,,,
BP_26445,229,529,1.5,0,0,1,,0,3907,,,,,,,,,,
BP_26449,343,83.2,1.1,0,0,0,,0,60,,,,,,,,,,
BP_26450,334,76.9,1.8,0.5,0,3.3,,0,22,,,,,,,,,,
BP_26451,356.4,15.2,1.2,0.4,0,0,,0,60,,,,,,,,,,
BP_26452,294,45.4,1.8,0,0,24,,13.4,3684,,,,,,,,,,
BP_26454,294,45.4,1.8,0,0,24,,13.4,3684,,,,,,,,,,
BP_26455,232,12.5,1.4,0,0,42.3,,32.8,373,,,,,,,,,,
BP_26459,296,5.4,3.4,0,0,61,,30.2,0,,,,,,,,,,
BP_26460,296,5.4,3.4,0,0,61,,30.2,0,,,,,,,,,,
BP_26467,78,3.9,1.1,0,0,13.1,,1.3,0,,,,,,,,,,
BP_26495,78,3.9,1.1,0,0,13.1,,1.3,0,,,,,,,,,,
BP_26507,340,10.3,0.7,0,0,73,,0,0,,,,,,,,,,
BP_26557,333,9.5,1,0,0,71.4,,4.6,232,,,,,,,,,,
BP_26564,306,19,1.7,0.6,0,63.2,,3.5,0,,,,,,,,,,
BP_26569,68,5.6,1.6,0,0,7.9,,3.7,7,,,,,,,,,,
BP_26576,557,19.6,43.8,1.8,0,21.1,,3.5,0,,,,,,,,,,
BP_26579,76,7.1,0.8,0,0,10.2,,1.1,36,,,,,,,,,,
BP_26590,321,26.9,7.1,0,0,43.7,,0,33.6,,,,,,,,,,
BP_26599,0,0,0,0,0,0,,0,0,,,,,,,,,,
BP_26601,46,4.3,1,0,0,4.9,,4,0,,,,,,,,,,
BP_26615,0,0.8,0,0,0,0,,0,0,,,,,,,,,,
